n,p,er,model,hidden_layers,activation,iter,auc_single,auc_multi,auc_multi_refined,ap_single,ap_multi,ap_multi_refined,n_distinct,n_overlapping,shared_second_layer_weights
50000,100,0.01,torch,25,relu,0,0.6100754224887508,0.6415608091886944,0.6087701400756262,0.014593193579319735,0.019338752645640653,0.015371191443042123,5,15,True
50000,100,0.01,torch,25,relu,1,0.5387386739752288,0.5863425738718905,0.5770786718785101,0.014745976958051684,0.0157207375897981,0.02184332062806941,5,15,True
50000,100,0.01,torch,25,relu,2,0.5343863883335435,0.5528268583058663,0.5379060775802549,0.01493275835433883,0.015684803106433755,0.01714810878266918,5,15,True
50000,100,0.01,torch,25,relu,3,0.5920492576683279,0.6103820870780073,0.5826762777071126,0.019456196203213823,0.021392804402993473,0.01579570062560439,5,15,True
50000,100,0.01,torch,25,relu,4,0.6029405817648962,0.6042293089995623,0.5898534883057072,0.017485499168844156,0.016526361014687536,0.017516722472593574,5,15,True
50000,100,0.01,torch,25,relu,5,0.5736524867290025,0.6166303858168742,0.603568689479026,0.017566329193942645,0.02274931816530433,0.01601097209247023,5,15,True
50000,100,0.01,torch,25,relu,6,0.6085684507689529,0.6324659018169285,0.6243285289890244,0.01846045509775697,0.020853071249044557,0.018148343685945437,5,15,True
50000,100,0.01,torch,25,relu,7,0.5926490984743412,0.5930079750346741,0.582754854368932,0.019593429756368873,0.016456183724920383,0.017481769413875498,5,15,True
50000,100,0.01,torch,25,relu,8,0.49316679511076633,0.577884535224336,0.5329651622691268,0.012487225347104036,0.012977757774142937,0.01171747348170522,5,15,True
50000,100,0.01,torch,25,relu,9,0.5498462534390678,0.6007171040484695,0.577876793045048,0.014796370472306563,0.01890633241111753,0.023378000272663967,5,15,True
