,n,p,er,model,activation,iter,auc_single,auc_multi,auc_combined,ap_single,ap_multi,ap_combined,config_single,config_multi,config_combined,n_distinct,n_random_features,shared_second_layer_weights
0,50000,10,0.01,torch,relu,0,0.74775048,0.750291016,0.770628289,0.055622366,0.056734345,0.065381466,"{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}",0,5,TRUE
1,50000,10,0.01,torch,relu,1,0.732357051,0.728694424,0.752805821,0.036376705,0.037357572,0.041399333,"{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}",0,5,TRUE
2,50000,10,0.01,torch,relu,2,0.678038324,0.692545999,0.730792241,0.022794456,0.024596571,0.032087868,"{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}",0,5,TRUE
3,50000,10,0.01,torch,relu,3,0.685875979,0.694163634,0.705939892,0.018467823,0.019250575,0.022510454,"{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}",0,5,TRUE
4,50000,10,0.01,torch,relu,4,0.715439342,0.707914967,0.722127872,0.050798058,0.045139271,0.039464595,"{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}",0,5,TRUE
5,50000,10,0.01,torch,relu,5,0.781650284,0.785684571,0.811890103,0.043107718,0.052232009,0.053587794,"{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}",0,5,TRUE
6,50000,10,0.01,torch,relu,6,0.63624976,0.62935339,0.613776887,0.032394738,0.033395155,0.024261809,"{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}",0,5,TRUE
7,50000,10,0.01,torch,relu,7,0.598164171,0.591207235,0.592251972,0.026979801,0.027090544,0.018821622,"{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}",0,5,TRUE
8,50000,10,0.01,torch,relu,8,0.669158288,0.673244182,0.682685011,0.019916493,0.020214367,0.018591664,"{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}",0,5,TRUE
9,50000,10,0.01,torch,relu,9,0.735927697,0.733634941,0.750566576,0.026024383,0.025333779,0.02649319,"{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}",0,5,TRUE
