same stop= True,,,,,,,,,,,,,,,,,,
,sin_auc0,sig_auc0,smx_auc0,sin_auc1,sig_auc1,smx_auc1,sin_auc2,sig_auc2,smx_auc2,sin_ap0,sig_ap0,smx_ap0,sin_ap1,sig_ap1,smx_ap1,sin_ap2,sig_ap2,smx_ap2
1,0.941652961,0.950164474,0.9390625,0.795468494,0.819864975,0.844261457,0.91906141,0.924262663,0.916318931,0.127690802,0.143120791,0.117113235,0.108067092,0.174959027,0.126680531,0.45906917,0.447395858,0.386869909
2,0.918588428,0.934263439,0.935002052,0.932040816,0.921020408,0.935918367,0.92908065,0.944508671,0.945912469,0.052666342,0.065448166,0.083283339,0.009920635,0.007487383,0.00973322,0.341220305,0.404618317,0.384373569
3,0.966637453,0.97621969,0.97487584,0.967320261,0.949857026,0.95067402,0.896352484,0.899483399,0.900650376,0.243799462,0.185361287,0.148007134,0.070678158,0.061567544,0.053463479,0.314319474,0.252047937,0.295512396
4,0.933596514,0.935458642,0.928754981,0.938054305,0.947468959,0.961886569,0.916265416,0.915853724,0.922208101,0.072204349,0.088367511,0.102838797,0.061294717,0.096965201,0.070894017,0.187557047,0.215738087,0.202371224
5,0.961825462,0.960642461,0.956410956,0.760931753,0.790151206,0.841744994,0.934386332,0.920562681,0.934142958,0.06905837,0.0522976,0.046931888,0.005643373,0.004588888,0.006554317,0.321981258,0.305740446,0.320766485
ave,0.944460163,0.951349741,0.946821266,0.878763126,0.885672515,0.906897081,0.919029258,0.920934228,0.923846567,0.113083865,0.106919071,0.099634879,0.051120795,0.069113609,0.053465113,0.324829451,0.325108129,0.317978717
,,,,,,,,,,,,,,,,,,
AUC,single,sigmoid,softmax,,AP,single,sigmoid,softmax,,,,,,,,,,
HF_edema,0.944460163,0.951349741,0.946821266,,HF_edema,0.113083865,0.106919071,0.099634879,,,,,,,,,,
Puerperal,0.878763126,0.885672515,0.906897081,,Puerperal,0.051120795,0.069113609,0.053465113,,,,,,,,,,
acuteRF,0.919029258,0.920934228,0.923846567,,acuteRF,0.324829451,0.325108129,0.317978717,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
same stop= False,,,,,,,,,,,,,,,,,,
,sin_auc0,sig_auc0,smx_auc0,sin_auc1,sig_auc1,smx_auc1,sin_auc2,sig_auc2,smx_auc2,sin_ap0,sig_ap0,smx_ap0,sin_ap1,sig_ap1,smx_ap1,sin_ap2,sig_ap2,smx_ap2
1,0.940604441,0.951089638,0.943359375,0.795468494,0.870806056,0.864412848,0.918919558,0.923778001,0.925976713,0.18479966,0.172825963,0.15096736,0.108067092,0.132475252,0.08921253,0.445306502,0.463588342,0.429446271
2,0.918588428,0.936889618,0.939734646,0.932040816,0.945306122,0.955306122,0.92908065,0.94269199,0.9447564,0.052666342,0.070005191,0.066114131,0.009920635,0.011056645,0.013428262,0.341220305,0.402671194,0.405299942
3,0.966637453,0.975693836,0.976979258,0.967320261,0.955882353,0.962724673,0.890802226,0.891456872,0.890318357,0.243799462,0.236984839,0.148954972,0.070678158,0.082163224,0.039565667,0.341992271,0.334923591,0.226786994
4,0.933596514,0.930430896,0.926185244,0.938054305,0.955564652,0.959112203,0.916265416,0.917822686,0.921563714,0.072204349,0.094355851,0.100092451,0.061294717,0.082202458,0.074545702,0.187557047,0.210908753,0.187799972
